----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
 Mult. | Configurations  |     Terms    |                 Observed  |                       Ritz    |              Ei           Ek              |  gi   gk  |     Aki    |     fik    | Acc. |Type|      TP  |       Line  |
  No.  |                 |              |                Wavelength |                    Wavelength |            (cm-1)       (cm-1)            |           |     s^-1   |            |      |    |     Ref. |       Ref.  |
       |                 |              |                 Vac  (Å)  |                     Vac  (Å)  |                                           |           |            |            |      |    |          |             |
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
     1 |    1s2 - 1s.2s  |   1S  - 3S   |                           |                               |                                           |           |            |            |      |    |          |             |
       |                 |              |                           |                               |                                           |           |            |            |      |    |          |             |
       |                 |              |                           |                  625.563107   |      0.0000         - [159855.9743297]    |   1 - 3   |  1.272e-04 |            | AA   | M1 |    T1896 |             |
       |                 |              |                           |                               |                                           |           |            |            |      |    |          |             |
     2 |    1s2 - 1s.2p  |   1S  - 3P*  |                           |                               |                                           |           |            |            |      |    |          |             |
       |                 |              |                           |                               |                                           |           |            |            |      |    |          |             |
       |                 |              |              591.4121     |                  591.412071   |      0.0000         - [169086.8428979]    |   1 - 3   |  1.764e+02 |  2.775e-08 | AA   |    |    T3585 |       L551  |
       |                 |              |                           |                  591.412339   |      0.0000         - [169086.7664725]    |   1 - 5   |  3.27e-01  |            | A    | M2 |    T1494 |             |
       |                 |              |                           |                               |                                           |           |            |            |      |    |          |             |
     3 |                 |   1S  - 1P*  |              584.3339     |                  584.334357   |      0              - [171134.896946]     |   1 - 3   |  1.799e+09 |  2.763e-01 | AAA  |    | T8636c73 |       L551  |
       |                 |              |                           |                               |                                           |           |            |            |      |    |          |             |
       |                 |              |                           |                               |                                           |           |            |            |      |    |          |             |
     4 |    1s2 - 1s.3p  |   1S  - 3P*  |                           |                               |                                           |           |            |            |      |    |          |             |
       |                 |              |                           |                               |                                           |           |            |            |      |    |          |             |
       |                 |              |                           |                  538.895999   |      0.0000         - [185564.561920]     |   1 - 5   |  1.21e-01  |            | C    | M2 |    T5612 |             |
       |                 |              |                           |                               |                                           |           |            |            |      |    |          |             |
     5 |    1s2 - 1s.3d  |   1S  - 1D   |                           |                  537.331173   |      0              - [186104.9666893]    |   1 - 5   |  1.299e+03 |  2.811e-07 | AA   | E2 |    T7378 |             |
       |                 |              |                           |                               |                                           |           |            |            |      |    |          |             |
       |                 |              |                           |                               |                                           |           |            |            |      |    |          |             |
     6 |    1s2 - 1s.3p  |   1S  - 1P*  |              537.0293     |                  537.029918   |      0              - [186209.36494]      |   1 - 3   |  5.663e+08 |  7.346e-02 | AAA  |    | T8636c73 |       L551  |
       |                 |              |                           |                               |                                           |           |            |            |      |    |          |             |
       |                 |              |                           |                               |                                           |           |            |            |      |    |          |             |
     7 |    1s2 - 1s.4p  |   1S  - 3P*  |                           |                               |                                           |           |            |            |      |    |          |             |
       |                 |              |                           |                               |                                           |           |            |            |      |    |          |             |
       |                 |              |                           |                  522.965942   |      0.0000         - [191217.040967]     |   1 - 5   |  5.2e-02   |            | C    | M2 |    T5612 |             |
       |                 |              |                           |                               |                                           |           |            |            |      |    |          |             |
     8 |    1s2 - 1s.4d  |   1S  - 1D   |                           |                  522.339260   |      0              - [191446.4557405]    |   1 - 5   |  7.485e+02 |  1.531e-07 | AAA  | E2 |    T7378 |             |
       |                 |              |                           |                               |                                           |           |            |            |      |    |          |             |
       |                 |              |                           |                               |                                           |           |            |            |      |    |          |             |
     9 |    1s2 - 1s.4p  |   1S  - 1P*  |              522.186      |                  522.213086   |      0              - [191492.711909]     |   1 - 3   |  2.436e+08 |  2.988e-02 | AAA  |    | T8636c73 |     L14922  |
       |                 |              |                           |                               |                                           |           |            |            |      |    |          |             |
       |                 |              |                           |                               |                                           |           |            |            |      |    |          |             |
    10 |    1s2 - 1s.5p  |   1S  - 3P*  |                           |                               |                                           |           |            |            |      |    |          |             |
       |                 |              |                           |                               |                                           |           |            |            |      |    |          |             |
       |                 |              |                           |                  515.993988   |      0.0000         - [193800.707595]     |   1 - 5   |  2.64e-02  |            | C    | M2 |    T5612 |             |
       |                 |              |                           |                               |                                           |           |            |            |      |    |          |             |
    11 |    1s2 - 1s.5d  |   1S  - 1D   |                           |                  515.681115   |      0              - [193918.28990114]   |   1 - 5   |  4.314e+02 |  8.599e-08 | AAA  | E2 |    T7378 |             |
